產業,股票代號,股票名稱,股價,發放頻率,現金股利,股票股利,合計股利,殖利率(%),除息日,發放日
水泥工業,1104,環泥,30.00,年,1.70,0.00,1.70,5.73,'25/06/25,'25/07/25
觀光餐旅,7757,金色三麥,118.50,年,9.00,0.00,9.00,5.73,'25/06/25,'25/07/22
運動休閒,8928,鉅明,24.95,年,1.70,0.00,1.70,5.73,'25/08/07,'25/09/12
鋼鐵工業,2069,運錩,18.75,年,0.90,0.00,0.90,5.71,'25/06/20,'25/07/16
資訊服務業,8284,三竹,63.30,年,4.00,0.00,4.00,5.71,'25/07/03,'25/07/25
其他電子業,3303,岱稜,44.80,年,2.77,0.00,2.77,5.70,'25/07/09,'25/08/01
電子零組件業,2355,敬鵬,31.05,年,1.85,0.00,1.85,5.69,'25/07/14,'25/08/11
其他電子業,6192,巨路,107.50,年,5.50,0.00,5.50,5.69,'25/04/24,'25/05/22
保險業,2816,旺旺保,28.85,年,1.50,0.00,1.50,5.68,'25/06/17,'25/07/14
數位雲端,5287,數字,170.50,半年,10.30,0.00,10.30,5.68,'25/08/28,'25/09/24
電腦及週邊設備業,3712,永崴投控,24.70,年,3.00,0.00,3.00,5.67,'25/07/24,'25/08/15
電腦及週邊設備業,6121,新普,364.00,半年,20.90,0.00,20.90,5.67,'25/12/17,'26/01/21
半導體業,8016,矽創,179.00,年,12.00,0.00,12.00,5.67,'25/06/16,'25/07/09
其他業,9938,百和,50.80,年,3.00,0.00,3.00,5.67,'25/08/04,'25/08/29
證券業,6023,元大期,95.50,年,4.80,0.00,4.80,5.66,'25/06/09,'25/06/30
其他業,8481,政伸,40.50,年,2.55,0.00,2.55,5.66,'25/07/07,'25/08/08
紡織纖維,1457,宜進,15.85,年,1.00,0.00,1.00,5.65,'25/04/10,'25/05/06
電子通路業,2414,精技,40.90,年,2.50,0.00,2.50,5.64,'25/07/24,'25/08/08
ETF,00935,野村臺灣新科技50,30.06,半年,1.35,0.00,1.35,5.63,'25/09/16,'25/10/15
建材營造業,5533,皇鼎,14.55,年,1.00,0.00,1.00,5.63,'25/06/26,'25/07/23
電子通路業,2347,聯強,58.70,年,4.00,0.00,4.00,5.63,'25/06/23,'25/07/18
證券業,6024,群益期,51.20,年,2.83,0.00,2.83,5.63,'25/06/18,'25/07/15
居家生活,2941,米斯特,45.65,年,3.20,0.00,3.20,5.63,'25/06/26,'25/07/24
玻璃陶瓷,1817,凱撒衛,38.35,年,2.40,0.00,2.40,5.62,'25/06/30,'25/07/25
電腦及週邊設備業,3022,威強電,64.90,年,4.50,0.00,4.50,5.62,'25/07/17,'25/08/15
電機機械,1527,鑽全,32.70,年,2.20,0.00,2.20,5.61,'25/08/04,'25/08/29
電子零組件業,3646,艾恩特,24.40,年,1.65,0.00,1.65,5.61,'25/08/26,'25/09/24
ETF,00960,野村全球航運龍頭,14.45,季,0.77,0.00,0.77,5.60,'25/10/20,'25/11/13
其他電子業,2477,美隆電,23.95,年,1.30,0.00,1.30,5.60,'25/04/24,'25/05/29
通信網路業,8089,康全電訊,27.95,年,1.25,1.25,2.50,5.59,'25/08/25,'25/09/25
建材營造業,2542,興富發,40.20,年,2.00,0.50,2.50,5.59,'25/09/25,'25/10/31
觀光餐旅,2752,豆府,207.00,年,14.00,0.00,14.00,5.59,'25/03/27,'25/04/21
ETF,00702,國泰標普低波高息,23.33,半年,1.32,0.00,1.32,5.57,'25/07/16,'25/08/11
ETF,00912,中信臺灣智慧50,21.62,季,1.05,0.00,1.05,5.54,'25/10/20,'25/11/14
電腦及週邊設備業,2495,普安,32.70,年,1.30,0.00,1.30,5.54,'25/07/25,'25/08/27
ETF,00730,富邦臺灣優質高息,23.11,月,1.27,0.00,1.27,5.53,'25/12/16,'26/01/12
建材營造業,2548,華固,118.50,年,5.50,0.50,6.00,5.53,'25/07/25,'25/08/20
其他業,1437,勤益控,34.55,季,1.83,0.00,1.83,5.53,'25/07/31,'25/08/29
化學工業,4767,誠泰科技,27.30,年,1.80,0.00,1.80,5.52,'25/07/31,'25/08/26
航運業,7716,昱臺國際,25.00,年,2.00,0.00,2.00,5.52,'25/07/21,'25/08/15
生技醫療業,7713,威力德生醫,74.50,年,3.37,0.00,3.37,5.51,'25/06/03,'25/07/03
銀行業,2845,遠東銀,12.90,年,0.50,0.25,0.75,5.51,'25/09/02,'25/09/30
化學工業,1712,興農,44.05,年,2.50,0.00,2.50,5.50,'25/03/13,'25/04/16
電腦及週邊設備業,2362,藍天,38.75,年,2.53,0.00,2.53,5.50,'25/06/24,'25/07/21
半導體業,8299,群聯,1340.00,半年,31.31,0.00,31.31,5.50,'25/12/16,'26/01/13
食品工業,1294,漢田生技,78.90,年,3.13,1.01,4.14,5.49,'25/07/15,'25/08/11
建材營造業,3188,鑫龍騰,30.55,年,1.80,0.00,1.80,5.49,'25/03/27,'25/04/30
航運業,2606,裕民,61.10,年,3.20,0.00,3.20,5.49,'25/06/18,'25/07/16
電機機械,1583,程泰,44.65,年,3.03,0.00,3.03,5.48,'25/07/08,'25/08/04
半導體業,2451,創見,196.00,年,6.09,0.00,6.09,5.48,'25/07/08,'25/08/01
數位雲端,7805,威聯通,750.00,年,40.00,0.00,40.00,5.48,'25/07/28,'25/08/26
電腦及週邊設備業,3046,建碁,51.90,年,2.70,0.00,2.70,5.47,'25/07/03,'25/07/29
電子零組件業,3217,優群,158.00,年,8.81,0.00,8.81,5.47,'25/07/03,'25/07/31
光電業,3031,佰鴻,19.70,年,1.00,0.00,1.00,5.46,'25/07/17,'25/08/15
化學工業,1708,東鹼,32.70,年,2.00,0.00,2.00,5.45,'25/05/28,'25/06/26
電腦及週邊設備業,8050,廣積,42.70,年,3.18,0.00,3.18,5.45,'25/07/18,'25/08/08
其他電子業,2474,可成,207.50,半年,11.49,0.00,11.49,5.45,'25/12/23,'26/01/21
居家生活,5903,全家,192.00,年,11.50,0.00,11.50,5.45,'25/08/06,'25/09/08
電機機械,1570,力肯,32.25,年,1.30,0.00,1.30,5.44,'25/07/30,'25/08/28
金控業,2885,元大金,39.65,年,1.55,0.30,1.85,5.44,'25/07/01,'25/07/23
金控業,2887,台新新光金,20.55,年,0.90,0.00,0.90,5.44,'25/08/12,'25/09/04
電腦及週邊設備業,4938,和碩,68.50,年,4.50,0.00,4.50,5.43,'25/06/17,'25/07/09
電子零組件業,3388,崇越電,61.50,年,3.50,0.00,3.50,5.43,'25/06/23,'25/07/18
橡膠工業,2114,鑫永銓,90.50,年,5.00,0.00,5.00,5.42,'25/06/24,'25/07/21
通信網路業,8048,德勝,55.90,年,2.20,0.00,2.20,5.42,'25/07/01,'25/07/24
水泥工業,1109,信大,15.50,年,0.90,0.00,0.90,5.41,'25/07/17,'25/08/15
紡織纖維,1451,年興,17.30,年,1.00,0.00,1.00,5.41,'25/04/17,'25/05/19
資訊服務業,2471,資通,49.95,年,3.06,0.00,3.06,5.41,'25/07/22,'25/08/18
觀光餐旅,2753,八方雲集,191.00,半年,10.00,0.00,10.00,5.41,'25/12/24,'26/01/22
ETF,00850,元大臺灣ESG永續,55.15,季,2.56,0.00,2.56,5.40,'25/11/21,'25/12/12
電器電纜,1604,聲寶,24.45,年,1.50,0.00,1.50,5.40,'25/04/11,'25/05/14
綠能環保,9930,中聯資源,70.40,年,4.00,0.00,4.00,5.40,'25/07/16,'25/08/06
食品工業,1702,南僑,39.15,年,2.50,0.00,2.50,5.39,'25/06/03,'25/06/27
電機機械,7709,榮田,37.55,年,2.30,0.00,2.30,5.39,'25/06/26,'25/07/24
電腦及週邊設備業,8163,達方,30.25,年,2.00,0.00,2.00,5.38,'25/06/20,'25/07/18
電子通路業,3010,華立,106.00,年,5.30,0.00,5.30,5.38,'25/06/23,'25/07/18
其他業,2904,匯僑,17.05,年,1.00,0.00,1.00,5.38,'25/07/07,'25/07/31
其他電子業,6146,耕興,160.00,年,10.10,0.00,10.10,5.37,'25/06/05,'25/06/26
觀光餐旅,2745,五福,104.50,年,6.50,0.00,6.50,5.37,'25/09/11,'25/10/15
鋼鐵工業,5007,三星,56.10,年,3.00,0.00,3.00,5.36,'25/03/25,'25/04/18
半導體業,4952,凌通,35.35,年,2.25,0.00,2.25,5.36,'25/06/25,'25/07/23
通信網路業,3684,榮昌,65.70,年,2.30,0.00,2.30,5.36,'25/06/30,'25/07/22
電機機械,1540,喬福,22.90,年,1.60,0.00,1.60,5.35,'25/07/15,'25/08/05
生技醫療業,4105,東洋,81.50,年,4.20,0.00,4.20,5.35,'25/03/27,'25/04/25
銀行業,2897,王道銀行,9.15,年,0.50,0.00,0.50,5.35,'25/07/10,'25/08/06
橡膠工業,2107,厚生,24.50,年,1.40,0.00,1.40,5.34,'25/06/16,'25/07/09
電器電纜,4930,燦星網,22.05,年,1.60,0.00,1.60,5.33,'25/04/01,'25/04/30
其他業,8437,大地-KY,17.15,年,1.02,0.00,1.02,5.33,'25/08/13,'25/09/12
電子零組件業,4915,致伸,76.50,年,4.20,0.00,4.20,5.32,'25/06/19,'25/07/18
電子零組件業,3042,晶技,80.20,半年,5.20,0.00,5.20,5.31,'25/06/16,'25/07/10
居家生活,9911,櫻花,83.20,年,4.70,0.00,4.70,5.31,'25/04/17,'25/05/21
生技醫療業,3118,進階,33.25,年,1.80,0.00,1.80,5.29,'25/06/12,'25/07/04
電子零組件業,3090,日電貿,93.70,年,4.20,0.00,4.20,5.29,'25/07/03,'25/07/31
通信網路業,2450,神腦,28.95,年,1.65,0.00,1.65,5.29,'25/06/19,'25/07/15
航運業,2617,台航,30.50,年,1.50,0.00,1.50,5.29,'25/07/21,'25/08/13
半導體業,6732,昇佳電子,176.00,年,10.00,0.00,10.00,5.28,'25/04/17,'25/05/22
建材營造業,2597,潤弘,168.00,年,7.70,2.00,9.70,5.27,'25/06/11,'25/06/30
半導體業,3264,欣銓,113.50,年,4.00,0.00,4.00,5.26,'25/06/24,'25/07/18
ETF,00771,元大US高息特別股,16.05,季,0.86,0.00,0.86,5.25,'25/11/21,'25/12/12
紡織纖維,4442,竣邦-KY,60.60,年,2.47,0.00,2.47,5.25,'25/04/23,'25/05/26
電機機械,4563,百德,42.00,年,3.00,0.00,3.00,5.25,'25/08/25,'25/09/22
半導體業,5299,杰力,70.60,年,4.15,0.00,4.15,5.25,'25/07/24,'25/08/21
金控業,2891,中信金,50.20,年,2.30,0.00,2.30,5.25,'25/07/14,'25/08/08
光電業,4935,茂林-KY,40.80,年,2.20,0.00,2.20,5.25,'25/06/16,'25/07/11
紡織纖維,4432,銘旺實,16.30,年,1.00,0.00,1.00,5.24,'25/08/13,'25/09/05
半導體業,3034,聯詠,374.50,年,28.00,0.00,28.00,5.24,'25/07/09,'25/08/08
電子通路業,6474,華豫寧,35.00,年,2.50,0.00,2.50,5.24,'25/07/17,'25/08/11
生技醫療業,4126,太醫,84.50,年,5.00,0.00,5.00,5.23,'25/07/03,'25/08/01
半導體業,3556,禾瑞亞,36.90,年,2.08,0.00,2.08,5.23,'25/06/13,'25/07/11
電機機械,1535,中宇,52.70,年,3.00,0.00,3.00,5.22,'25/07/21,'25/08/15
電機機械,4535,至興,28.95,年,1.60,0.00,1.60,5.22,'25/06/24,'25/07/15
鋼鐵工業,2006,東和鋼鐵,64.10,年,4.00,0.00,4.00,5.22,'25/03/20,'25/04/23
電腦及週邊設備業,3479,安勤,91.40,年,5.20,0.00,5.20,5.22,'25/07/03,'25/07/31
電子零組件業,6175,立敦,51.30,年,1.75,0.00,1.75,5.22,'25/07/10,'25/08/08
電器電纜,1616,億泰,28.45,年,1.80,0.00,1.80,5.21,'25/07/09,'25/08/01
資訊服務業,5410,國眾,30.90,年,1.50,0.00,1.50,5.21,'25/07/30,'25/08/22
光電業,3038,全台,23.35,年,1.50,0.00,1.50,5.21,'25/03/27,'25/04/18
綠能環保,6951,青新-創,74.20,年,3.80,0.00,3.80,5.21,'25/06/09,'25/07/04
綠能環保,8422,可寧衛*,30.10,年,9.94,0.00,9.94,5.21,'25/06/10,'25/06/30
ETF,00964,中信亞太高股息,11.68,月,0.56,0.00,0.56,5.19,'25/12/16,'26/01/13
鋼鐵工業,2029,盛餘,21.30,年,1.25,0.00,1.25,5.18,'25/07/15,'25/08/15
其他業,9905,大華,19.90,年,1.20,0.00,1.20,5.18,'25/07/10,'25/08/07
紡織纖維,1477,聚陽,299.00,半年,16.10,0.00,16.10,5.17,'25/08/15,'25/09/03
生技醫療業,1731,美吾華,21.75,年,1.20,0.00,1.20,5.17,'25/06/30,'25/07/24
建材營造業,2501,國建,23.55,年,1.00,0.00,1.00,5.17,'25/07/10,'25/08/08
建材營造業,2538,基泰,11.45,年,0.70,0.00,0.70,5.17,'25/07/31,'25/09/01
農業科技業,1240,茂生農經,59.50,年,2.70,0.70,3.40,5.17,'25/08/28,'25/09/19
電腦及週邊設備業,2397,友通,61.30,年,3.40,0.00,3.40,5.15,'25/06/25,'25/07/25
觀光餐旅,5706,鳳凰,50.60,年,2.75,0.50,3.25,5.15,'25/07/07,'25/08/11
金控業,2881,富邦金,97.00,年,4.25,0.25,4.50,5.15,'25/07/01,'25/07/31
金控業,2882,國泰金,76.20,年,3.50,0.00,3.50,5.15,'25/06/30,'25/07/28
光電業,4942,嘉彰,39.30,年,2.00,0.00,2.00,5.15,'25/07/31,'25/08/28
數位雲端,2640,大車隊,131.00,年,7.00,0.00,7.00,5.15,'25/07/21,'25/08/08
ETF,00930,永豐ESG低碳高息,17.32,雙月,0.91,0.00,0.91,5.14,'25/11/25,'25/12/19
生技醫療業,4173,久裕,21.05,年,1.19,0.00,1.19,5.14,'25/04/17,'25/05/16
汽車工業,2115,六暉-KY,24.45,年,1.50,0.00,1.50,5.14,'25/06/17,'25/07/11
保險業,5878,台名,41.15,年,2.30,0.00,2.30,5.14,'25/06/05,'25/06/24
通信網路業,3306,鼎天,49.85,年,2.10,0.00,2.10,5.13,'25/07/28,'25/08/15
通信網路業,6263,普萊德,130.00,年,7.90,0.00,7.90,5.13,'25/06/10,'25/07/09
資訊服務業,6590,普鴻,75.50,半年,2.80,1.50,4.30,5.13,'25/03/20,'25/04/18
光電業,3622,洋華,62.20,年,3.00,0.00,3.00,5.12,'25/08/26,'25/09/19
ETF,00963,中信全球高股息,11.42,月,0.54,0.00,0.54,5.11,'25/12/16,'26/01/13
生技醫療業,4161,聿新科,25.20,年,0.30,1.30,1.60,5.11,'25/08/20,'25/09/24
半導體業,8131,福懋科,58.90,年,1.45,0.00,1.45,5.11,'25/07/22,'25/08/22
其他業,9907,統一實,17.85,年,0.97,0.00,0.97,5.11,'25/07/18,'25/08/20
運動休閒,8938,明安,69.40,年,4.09,0.00,4.09,5.11,'25/03/27,'25/05/02
橡膠工業,2105,正新,29.40,年,2.40,0.00,2.40,5.10,'25/06/12,'25/07/17
資訊服務業,7767,仁大資訊,51.00,年,3.00,0.00,3.00,5.10,'25/06/11,'25/06/30
電子零組件業,6275,元山,53.00,年,2.26,0.00,2.26,5.09,'25/08/05,'25/09/01
資訊服務業,4994,傳奇,96.70,年,5.00,0.00,5.00,5.09,'25/06/13,'25/07/11
電子零組件業,4545,銘鈺,39.35,年,1.65,0.00,1.65,5.08,'25/06/24,'25/07/17
生技醫療業,6844,諾貝兒,75.60,年,5.10,0.00,5.10,5.07,'25/07/03,'25/07/31
電腦及週邊設備業,3611,鼎翰,204.50,年,9.98,0.00,9.98,5.07,'25/07/22,'25/08/15
半導體業,6257,矽格,115.00,年,4.04,0.00,4.04,5.07,'25/07/08,'25/07/25
電子零組件業,8039,台虹,86.60,年,2.50,0.00,2.50,5.07,'25/07/17,'25/08/07
光電業,8240,華宏,37.50,年,1.60,0.00,1.60,5.07,'25/06/27,'25/07/25
綠能環保,6803,崑鼎,295.50,年,15.24,0.00,15.24,5.07,'25/07/03,'25/07/23
其他業,5604,中連,37.25,年,2.30,0.00,2.30,5.07,'25/02/20,'25/03/12
居家生活,6195,詩肯,25.50,年,1.50,0.00,1.50,5.07,'25/06/26,'25/07/18
其他電子業,3402,漢科,122.50,年,5.00,0.00,5.00,5.05,'25/07/24,'25/08/22
ETF,00881,國泰台灣科技龍頭,32.44,半年,1.30,0.00,1.30,5.04,'25/08/18,'25/09/11
半導體業,6239,力成,175.00,年,7.00,0.00,7.00,5.04,'25/07/31,'25/09/05
電子零組件業,3537,堡達,50.00,年,2.30,0.00,2.30,5.04,'25/07/29,'25/08/22
電子零組件業,6203,海韻電,68.90,年,3.50,0.00,3.50,5.04,'25/09/09,'25/10/03
資訊服務業,5403,中菲,116.50,年,6.50,0.00,6.50,5.04,'25/05/28,'25/06/20
建材營造業,5213,亞昕,24.10,年,1.27,0.24,1.51,5.04,'25/06/23,'25/07/14
電機機械,1530,亞崴,27.25,年,1.53,0.00,1.53,5.03,'25/07/02,'25/07/29
綠能環保,6887,寶綠特-KY,61.10,年,3.96,0.00,3.96,5.02,'25/07/18,'25/08/18
通信網路業,3669,圓展,34.10,年,1.70,0.00,1.70,5.01,'25/06/27,'25/07/23
銀行業,2801,彰銀,20.45,年,0.50,0.50,1.00,5.01,'25/07/31,'25/09/04
銀行業,2820,華票,16.90,年,0.78,0.00,0.78,5.00,'25/06/30,'25/07/25
綠能環保,6581,鋼聯,106.00,年,6.00,0.00,6.00,5.00,'25/03/27,'25/04/25
油電燃氣業,9931,欣高,33.90,年,1.80,0.00,1.80,5.00,'25/06/23,'25/07/18
居家生活,2948,寶陞,38.50,年,1.82,0.33,2.15,5.00,'25/08/08,'25/08/29
