代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
1903,士紙,12/30,54.3,-0.7,-1.27,2025,年,0,0,0,,0,,0,0,,,
1904,正隆,12/30,17.4,-0.05,-0.29,2025,年,0.45,0,0.45,17.5,2.57,,0,2.57,'25/06/19,,'25/07/25
1905,華紙,12/30,11.7,0,0,2025,年,0,0,0,,0,,0,0,,,
1906,寶隆,12/30,11.75,0,0,2026,半年,0,0,0,,0,,,0,,,
1907,永豐餘,12/30,26.3,+0.45,+1.74,2025,年,0.8,0,0.8,23.5,3.4,,0,3.4,'25/07/11,,'25/08/08
1909,榮成,12/30,9.97,+0.01,+0.1,2026,半年,0,0,0,,0,,,0,,,
6790,永豐實,12/30,38.6,-0.1,-0.26,2025,年,2.55,0,2.55,43.6,5.85,,0,5.85,'25/07/14,,'25/08/15
