代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
1101,台泥,12/30,23.6,+0.3,+1.29,2025,年,1,0,1,26.15,3.82,,0,3.82,'25/07/02,,'25/07/29
1101B,台泥乙特,12/30,45.4,0,0,2025,年,2.026,0,2.026,48.4,4.19,,0,4.19,'25/07/02,,'25/07/29
1102,亞泥,12/30,37.1,+0.3,+0.82,2026,季,0,0,0,,0,,,0,,,
1103,嘉泥,12/30,14,-0.05,-0.36,2025,年,0.551,0,0.551,14.65,3.76,,0,3.76,'25/07/24,,'25/08/21
1104,環泥,12/30,30,+0.05,+0.17,2025,年,1.7,0,1.7,29.65,5.73,,0,5.73,'25/06/25,,'25/07/25
1108,幸福,12/30,14.9,-0.05,-0.33,2026,半年,0,0,0,,0,,,0,,,
1109,信大,12/30,15.5,-0.05,-0.32,2025,年,0.9,0,0.9,16.65,5.41,,0,5.41,'25/07/17,,'25/08/15
1110,東泥,12/30,16.55,-0.15,-0.9,2025,年,0.3,0,0.3,18.7,1.6,,0,1.6,'25/07/10,,'25/08/08
