代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
3563,牧德,12/30,518,+6,+1.17,2025,半年,6,1,7,543,1.05,543,0.18,1.24,'25/11/04,'25/11/04,'25/12/03
3576,聯合再生,12/30,8.95,-0.01,-0.11,2025,年,0,0,0,,0,,0,0,,,
3591,艾笛森,12/30,18.5,-0.15,-0.8,2025,年,0.739,0,0.739,18.2,4.06,,0,4.06,'25/07/03,,'25/07/30
3615,安可,12/30,25.25,-0.15,-0.59,2025,年,0.3,0,0.3,22,1.36,,0,1.36,'25/07/24,,'25/08/21
3622,洋華,12/30,62.2,-1,-1.58,2025,年,3,0,3,58.6,5.12,,0,5.12,'25/08/26,,'25/09/19
3623,富晶通,12/30,21.5,+0.05,+0.23,2025,年,0,0,0,,0,,0,0,,,
3630,新鉅科,12/30,27.9,-0.1,-0.36,2025,年,0,0,0,,0,,0,0,,,
3666,光耀,12/30,32.9,0,0,2025,年,0,0,0,,0,,0,0,,,
3673,TPK-KY,12/30,41,-0.65,-1.56,2025,年,0.8,0,0.8,30.9,2.59,,0,2.59,'25/07/14,,'25/08/07
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
3691,碩禾,12/30,81.4,-3,-3.55,2025,年,0,0,0,,0,,0,0,,,
3714,富采,12/30,33.2,0,0,2025,年,0.9,0,0.9,36.4,2.47,,0,2.47,'25/06/25,,'25/07/24
4729,熒茂,12/30,24.6,-0.8,-3.15,2025,年,0.5,0,0.5,20.6,2.43,,0,2.43,'25/04/18,,'25/05/21
4933,友輝,12/30,58.9,-0.1,-0.17,2025,年,5.99,0,5.99,77.6,7.72,,0,7.72,'25/07/22,,'25/08/22
4934,太極,12/30,13.9,+0.05,+0.36,2025,年,0,0,0,,0,,0,0,,,
4935,茂林-KY,12/30,40.8,0,0,2025,年,2.2,0,2.2,41.9,5.25,,0,5.25,'25/06/16,,'25/07/11
4942,嘉彰,12/30,39.3,+0.1,+0.26,2025,年,2,0,2,38.85,5.15,,0,5.15,'25/07/31,,'25/08/28
4949,有成精密,12/30,37.75,-0.95,-2.45,2025,年,1.1,0,1.1,40.9,2.69,,0,2.69,'25/03/27,,'25/04/25
4956,光鋐,12/30,21.75,-0.1,-0.46,2025,年,0,0,0,,0,,0,0,,,
4960,誠美材,12/30,13.45,-0.2,-1.47,2026,半年,0,0,0,,0,,,0,,,
4972,湯石照明,12/30,18.1,0,0,2025,年,0.8,0,0.8,24,3.33,,0,3.33,'25/03/21,,'25/04/25
4976,佳凌,12/30,30.05,-0.1,-0.33,2025,年,0,0,0,,0,,0,0,,,
4995,晶達,12/30,41.05,+0.75,+1.86,2025,年,3.998,0,3.998,59.8,6.69,,0,6.69,'25/05/28,,'25/06/20
5220,萬達光電,12/30,17.1,-0.15,-0.87,2025,年,0.5,0,0.5,19.35,2.58,,0,2.58,'25/07/09,,'25/07/30
5230,雷笛克光學,12/30,18.15,-0.55,-2.94,2025,年,0.512,0,0.512,20.8,2.46,,0,2.46,'25/07/01,,'25/07/25
5234,達興材料,12/30,334,-4,-1.18,2025,年,5,0,5,208,2.4,,0,2.4,'25/05/27,,'25/06/20
5243,乙盛-KY,12/30,76.5,-0.6,-0.78,2025,年,1.5,0,1.5,77.1,1.95,,0,1.95,'25/09/02,,'25/09/26
5244,弘凱,12/30,39.6,-0.3,-0.75,2025,年,1.5,0,1.5,47.7,3.14,,0,3.14,'25/07/11,,'25/08/08
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
5245,智晶,12/30,21,+0.05,+0.24,2025,年,0,0,0,,0,,0,0,,,
5251,天鉞電,12/30,37.15,-0.9,-2.37,2025,年,0,0,0,,0,,0,0,,,
5315,光聯,12/30,23.9,-0.05,-0.21,2025,年,1.5,0,1.5,22.65,6.62,,0,6.62,'25/07/01,,'25/07/30
5371,中光電,12/30,87.7,-4.4,-4.78,2025,年,1.5,0,1.5,55.4,2.71,,0,2.71,'25/07/11,,'25/08/05
5392,能率,12/30,49.1,+2.95,+6.39,2025,年,0.2,0.45,0.65,43.8,0.46,43.8,1.03,1.48,'25/08/29,'25/08/29,'25/10/03
5484,慧友,12/30,38.25,-0.55,-1.42,2025,年,0,0,0,,0,,0,0,,,
6116,彩晶,12/30,7.76,+0.16,+2.11,2025,年,0,0,0,,0,,0,0,,,
6120,達運,12/30,12.3,-0.2,-1.6,2025,年,0.25,0,0.25,10.55,2.37,,0,2.37,'25/07/17,,'25/08/06
6125,廣運,12/30,73,+0.8,+1.11,2025,年,0.7,0,0.7,67.9,1.03,,0,1.03,'25/06/25,,'25/07/11
6164,華興,12/30,13,+0.3,+2.36,2025,年,0.5,0,0.5,10.9,4.59,,0,4.59,'25/07/10,,'25/08/08
6167,久正,12/30,11.5,0,0,2025,年,0.2,0,0.2,13.9,1.44,,0,1.44,'25/06/20,,'25/07/18
6168,宏齊,12/30,19.65,-0.3,-1.5,2025,年,0,0,0,,0,,0,0,,,
6176,瑞儀,12/30,125.5,-2,-1.57,2025,年,10.61,0,10.61,150,7.07,,0,7.07,'25/06/20,,'25/07/18
6209,今國光,12/30,67.9,+0.6,+0.89,2025,年,0,0,0,,0,,0,0,,,
6222,立軒,12/30,19.05,-0.1,-0.52,2025,年,0,0,0,,0,,0,0,,,
6225,天瀚,12/30,18.05,+0.05,+0.28,2025,年,0,0,0,,0,,0,0,,,
6226,光鼎,12/30,7.54,-0.16,-2.08,2025,年,0,0,0,,0,,0,0,,,
6234,高僑,12/30,30.55,-0.3,-0.97,2025,年,0.45,0,0.45,27.4,1.64,,0,1.64,'25/09/01,,'25/09/26
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
6244,茂迪,12/30,22,+0.45,+2.09,2025,年,0.36,0,0.36,18.25,1.97,,0,1.97,'25/07/23,,'25/08/18
6246,臺龍,12/30,13.95,+0.1,+0.72,2025,年,0,0,0,,0,,0,0,,,
6278,台表科,12/30,96.3,+1.9,+2.01,2025,年,5.5,0,5.5,115,4.78,,0,4.78,'25/07/10,,'25/08/08
6405,悅城,12/30,27.75,-0.45,-1.6,2025,年,0.1,0,0.1,24.95,0.4,,0,0.4,'25/07/16,,'25/08/05
6419,京晨科,12/30,89.5,+3,+3.47,2025,年,2.7,0,2.7,60.8,4.44,,0,4.44,'25/07/21,,'25/08/21
6443,元晶,12/30,28.7,+1,+3.61,2025,年,0,0,0,,0,,0,0,,,
6456,GIS-KY,12/30,42.85,0,0,2025,年,0,0,0,,0,,0,0,,,
6477,安集,12/30,35.6,-0.45,-1.25,2025,年,0.3,0,0.3,29.55,1.02,,0,1.02,'25/06/27,,'25/07/31
6498,久禾光,12/30,91.3,-0.7,-0.76,2025,年,2.641,0,2.641,127,2.08,,0,2.08,'25/06/19,,'25/07/18
