代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
6904,伯鑫,12/30,115,0,0,2025,年,9,0,9,126,7.14,,0,7.14,'25/07/16,,'25/08/08
6914,阜爾運通,12/30,145.5,0,0,2025,年,6,0,6,144.5,4.15,,0,4.15,'25/07/17,,'25/08/15
6952,大武山,12/30,43.45,+0.05,+0.12,2025,年,2,0,2,49.7,4.02,,0,4.02,'25/06/13,,'25/07/09
6957,裕慶-KY,12/30,192,-0.5,-0.26,2025,年,13.16,0,13.16,179.5,7.33,,0,7.33,'25/07/03,,'25/07/28
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
6958,日盛台駿,12/30,16.1,0,0,2025,年,0.2,0.8,1,22.85,0.88,22.85,3.5,4.38,'25/07/25,'25/07/25,'25/08/29
7777,能率亞洲,12/30,29.05,-0.05,-0.17,2025,半年,0,0,0,,0,,0,0,,,
8033,雷虎,12/30,149.5,-3,-1.97,2025,年,0,0,0,,0,,0,0,,,
8342,益張,12/30,85.9,-0.1,-0.12,2025,年,5,0,5,81.5,6.13,,0,6.13,'25/06/30,,'25/07/25
8354,冠好,12/30,16.1,0,0,2025,年,0.6,0,0.6,14.9,4.03,,0,4.03,'25/09/02,,'25/09/26
8401,白紗科,12/30,28.7,-0.05,-0.17,2025,年,1.5,0.7,2.2,33.95,4.42,28.7,2.44,6.86,'25/03/27,'25/08/27,'25/04/24
8404,百和興業-KY,12/30,23.3,-0.2,-0.85,2025,年,0.15,0.5,0.65,21.3,0.7,21.3,2.35,3.05,'25/07/24,'25/07/24,'25/08/29
8411,福貞-KY,12/30,12.35,+0.1,+0.82,2026,季,0,0,0,,0,,,0,,,
8421,旭源,12/30,13.65,-0.1,-0.73,2025,年,0,0,0,,0,,0,0,,,
8426,紅木-KY,12/30,27.7,-0.25,-0.89,2026,半年,0,0,0,,0,,,0,,,
8435,鉅邁,12/30,53.1,-0.1,-0.19,2025,年,4.5,0,4.5,74,6.08,,0,6.08,'25/05/27,,'25/06/27
8437,大地-KY,12/30,17.15,0,0,2025,年,1.018,0,1.018,19.1,5.33,,0,5.33,'25/08/13,,'25/09/12
8442,威宏-KY,12/30,69.9,+0.6,+0.87,2025,年,6.407,0,6.407,83.6,7.66,,0,7.66,'25/07/14,,'25/08/08
8444,綠河-KY,12/30,12.45,-0.75,-5.68,2025,半年,0,0,0,,0,,0,0,,,
8463,潤泰材,12/30,27.05,-0.3,-1.1,2025,年,1.1,0,1.1,25.5,4.31,,0,4.31,'25/06/11,,'25/06/30
8466,美吉吉-KY,12/30,22.05,+0.15,+0.68,2025,年,1.2,0,1.2,28.45,4.22,,0,4.22,'25/08/07,,'25/09/12
8481,政伸,12/30,40.5,-0.25,-0.61,2025,年,2.55,0,2.55,45.05,5.66,,0,5.66,'25/07/07,,'25/08/08
8488,吉源-KY,12/30,9.91,0,0,2025,年,0,0,0,,0,,0,0,,,
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
8489,三貝德,12/30,41,+0.95,+2.37,2025,年,0,0,0,,0,,0,0,,,
8905,裕國,12/30,31.2,+0.5,+1.63,2025,年,1,0,1,30.8,3.25,,0,3.25,'25/07/10,,'25/08/08
8906,花王,12/30,39.55,+0.65,+1.67,2025,年,0.1,0,0.1,35.05,0.29,,0,0.29,'25/09/25,,'25/10/31
8916,光隆,12/30,49.65,-0.2,-0.4,2025,年,3.592,0,3.592,51.8,6.93,,0,6.93,'25/07/29,,'25/08/21
8921,沈氏,12/30,17.45,-0.5,-2.79,2025,年,0.22,0,0.22,17.95,1.23,,0,1.23,'25/07/02,,'25/07/24
8929,富堡,12/30,17.25,+0.35,+2.07,2025,年,0,0,0,,0,,0,0,,,
8932,智通*,12/30,166.5,-4,-2.35,2025,年,0.282,0.421,0.703,241.5,0.12,241.5,0.17,0.29,'25/09/08,'25/09/08,'25/09/30
8935,邦泰,12/30,20,-0.75,-3.61,2025,年,0,0,0,,0,,0,0,,,
8936,國統,12/30,55.2,-1.1,-1.95,2025,年,2,0,2,56.6,3.53,,0,3.53,'25/10/22,,'25/11/27
8937,合騏,12/30,150.5,-0.5,-0.33,2025,年,0.1,0,0.1,169,0.06,,0,0.06,'25/09/09,,'25/10/02
8942,森鉅,12/30,36.7,-0.2,-0.54,2026,半年,0,0,0,,0,,,0,,,
9902,台火,12/30,16.9,-0.35,-2.03,2025,年,0.3,0,0.3,17.9,1.68,,0,1.68,'25/07/09,,'25/08/01
9905,大華,12/30,19.9,-0.05,-0.25,2025,年,1.2,0,1.2,23.15,5.18,,0,5.18,'25/07/10,,'25/08/07
9907,統一實,12/30,17.85,-0.35,-1.92,2025,年,0.97,0,0.97,19,5.11,,0,5.11,'25/07/18,,'25/08/20
9917,中保科,12/30,107.5,-0.5,-0.46,2025,年,5.2,0,5.2,118.5,4.39,,0,4.39,'25/06/24,,'25/07/16
9919,康那香,12/30,16.55,-0.05,-0.3,2025,年,0.2,0,0.2,17.35,1.15,,0,1.15,'25/07/17,,'25/08/08
9925,新保,12/30,40.75,0,0,2025,年,2,0,2,41.85,4.78,,0,4.78,'25/07/24,,'25/08/25
9927,泰銘,12/30,68.3,0,0,2025,年,6,0,6,65.7,9.13,,0,9.13,'25/08/26,,'25/09/15
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
9928,中視,12/30,18.9,-0.45,-2.33,2025,年,0,0,0,,0,,0,0,,,
9929,秋雨,12/30,10.9,+0.25,+2.35,2025,年,0,0,0,,0,,0,0,,,
9933,中鼎,12/30,31.25,-0.45,-1.42,2025,年,1.002,1.002,2.004,32.25,3.11,32.25,3.11,6.21,'25/08/15,'25/08/15,'25/09/17
9938,百和,12/30,50.8,-0.3,-0.59,2025,年,3,0,3,52.9,5.67,,0,5.67,'25/08/04,,'25/08/29
9939,宏全,12/30,120.5,0,0,2025,年,6.2,0,6.2,157.5,3.94,,0,3.94,'25/07/02,,'25/07/24
9940,信義,12/30,22.6,-0.15,-0.66,2025,年,1.8,0,1.8,28,6.43,,0,6.43,'25/06/10,,'25/07/09
9941,裕融,12/30,87,-1.7,-1.92,2025,年,4.38,0.5,4.88,104,4.21,104,0.48,4.69,'25/09/02,'25/09/02,'25/09/26
9941A,裕融甲特,12/30,50.4,0,0,2025,年,2.339,0,2.339,52,4.5,,0,4.5,'25/09/02,,'25/09/26
9942,茂順,12/30,105.5,0,0,2025,年,7,0,7,117,5.98,,0,5.98,'25/07/31,,'25/08/28
9944,新麗,12/30,16.95,-0.05,-0.29,2025,年,0.3,0,0.3,16.85,1.78,,0,1.78,'25/06/25,,'25/07/22
9945,潤泰新,12/30,30,-0.15,-0.5,2025,年,1.1,0,1.1,31.35,3.51,,0,3.51,'25/07/09,,'25/07/31
