代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
4119,旭富,12/30,48.9,-0.15,-0.31,2025,年,1.5,0,1.5,64.7,2.32,,0,2.32,'25/07/01,,'25/08/05
4120,友華,12/30,44.2,+0.2,+0.45,2025,年,1,0,1,56.4,1.77,,0,1.77,'25/07/07,,'25/08/06
4121,優盛,12/30,15.55,+0.1,+0.65,2025,年,0,0,0,,0,,0,0,,,
4123,晟德,12/30,41.45,+2.25,+5.74,2025,年,0.76,0.507,1.267,38.5,1.98,38.5,1.32,3.29,'25/10/03,'25/10/03,'25/11/10
4126,太醫,12/30,84.5,-0.4,-0.47,2025,年,5,0,5,95.6,5.23,,0,5.23,'25/07/03,,'25/08/01
4127,天良,12/30,29.6,-0.1,-0.34,2025,年,0,0,0,,0,,0,0,,,
4128,中天,12/30,18.35,-0.3,-1.61,2025,年,0,0,0,,0,,0,0,,,
4129,聯合,12/30,111.5,0,0,2025,年,4,0,4,104.5,3.83,,0,3.83,'25/07/23,,'25/08/20
4130,健亞,12/30,27.95,+0.95,+3.52,2025,年,0.1,0.2,0.3,18.9,0.53,18.9,1.06,1.59,'25/08/20,'25/08/20,'25/09/24
4131,浩泰,12/30,41,+1,+2.5,2025,年,0,0,0,,0,,0,0,,,
4133,亞諾法,12/30,22.8,-0.1,-0.44,2025,年,0.9,0,0.9,29.25,3.08,,0,3.08,'25/06/16,,'25/07/03
4137,麗豐-KY,12/30,99.4,-0.2,-0.2,2025,季,10,0,10,121.5,8.23,,0,8.23,'25/07/03,,'25/07/31
4138,曜亞,12/30,60.7,-0.3,-0.49,2025,年,4.15,1,5.15,87.5,4.74,76.8,1.3,6.04,'25/04/18,'25/09/01,'25/05/16
4139,馬光-KY,12/30,24.6,+0.05,+0.2,2025,年,0,0,0,,0,,0,0,,,
4142,國光生,12/30,18.95,-0.3,-1.56,2025,年,0,0,0,,0,,0,0,,,
4147,中裕,12/30,61,-0.3,-0.49,2025,年,0,0,0,,0,,0,0,,,
