股票代號,股票名稱,紀念品,股價,市場別,最後買進日
2406,國碩,統一商品卡35元,24.95,上市,4/24/25
1219,福壽,福壽香油,13.6,上市,3/20/25
4557,永新-KY,精緻包裝米,79,上市,3/26/25
4906,正文,指甲剪套裝組,27.1,上市,3/26/25
1517,利奇,多功能手機支架,11.2,上市,4/23/25
4912,聯德控股-KY,統一商品卡50元,88.5,上市,3/26/25
1103,嘉泥,GiveU 尼龍收納三用包,14,上市,3/13/25
6214,精誠,硅藻土廚房吸水桌墊(改發香皂二入),120.5,上市,3/26/25
5521,工信,電子行李秤,16.95,上市,4/23/25
6239,力成,統一商品卡50元,162,上市,3/26/25
4540,全球傳動,統一超商35元(中杯美式)商品卡,35.3,上市,4/23/25
3060,銘異,全家禮物卡50元,29.8,上市,4/23/25
3025,星通,統一超商商品券50元,58.8,上市,4/23/25
2206,三陽工業,餐具套組,61.2,上市,4/23/25
6269,台郡,全家禮物卡50元,58.7,上市,3/26/25
6271,同欣電,妙管家八倍濃縮洗衣球,122.5,上市,3/26/25
8039,台虹,統一商品卡35元,96.7,上市,3/26/25
3092,鴻碩,訊號線,16.1,上市,3/26/25
3605,宏致,環保袋,61.6,上市,4/23/25
6282,康舒,多功能鑰匙扣燈,41.35,上市,3/26/25
4142,國光生,統一超商200元商品卡,19.55,上市,4/23/25
8213,志超,統一商品卡50元,33,上市,3/26/25
8215,明基材,護妍天使全方位煥膚淨亮限定組,18.8,上市,3/26/25
1305,華夏,USii優系高效鎖鮮袋,11.3,上市,3/26/25
2380,虹光,環保購物袋,4.93,上市,4/23/25
2460,建通,雙口認證快充充電頭,19.95,上市,4/23/25
2014,中鴻,統一商品卡50元,14.7,上市,4/23/25
1409,新纖,紳士襪,14.75,上市,3/26/25
6672,騰輝電子-KY,全家禮物卡50元,89,上市,4/22/25
2327,國巨*,妙管家八倍濃縮洗衣球,236,上市,3/26/25
1513,中興電,小羊苗聯名款真空隨行杯,149.5,上市,3/20/25
4133,亞諾法,統一商品卡35元,22.75,上市,3/26/25
2342,茂矽,清潔用品,28.8,上市,3/19/25
2338,光罩,全家禮物卡35元,35.45,上市,3/26/25
2405,輔信,康寧Amber 7.5吋湯盤,18.3,上市,3/26/25
6257,矽格,統一商品卡50元,103,上市,3/26/25
3312,弘憶股,統一商品卡35元,35.8,上市,4/23/25
1220,台榮,無患子洗手乳,12.5,上市,4/23/25
6591,動力-KY,全家禮物卡50元,77.1,上市,3/26/25
1201,味全,料理高手-蔬果本味調味料,14.7,上市,4/22/25
8016,矽創,統一商品卡35元,183,上市,3/26/25
4999,鑫禾,廚房料理剪刀,23.2,上市,4/23/25
8163,達方,日式斗笠碗禮盒組(2入),30.65,上市,3/26/25
8487,愛爾達-創,Taiwan GO應援毛巾,76.9,上市,3/19/25
2371,大同,統一商品卡100元,34,上市,3/26/25
3051,力特,精美料理剪刀,18.35,上市,4/23/25
2467,志聖,可折疊矽膠咖啡杯,243,上市,3/26/25
9914,美利達,統一商品卡100元,88.1,上市,4/23/25
2534,宏盛,白米,20.05,上市,3/26/25
5608,四維航,全家禮物卡35元,18.1,上市,4/23/25
3010,華立,全家禮物卡50元,117,上市,3/26/25
3023,信邦,多功能餐具組,217,上市,3/26/25
3042,晶技,統一商品卡100元,86.2,上市,3/26/25
3716,中化控股,綠的抗菌旅行組合,33.95,上市,3/26/25
4916,事欣科,統一商品卡50元,52.2,上市,3/26/25
2537,聯上發,毛寶洗衣精,10.4,上市,4/23/25
2355,敬鵬,保溫保冷袋,31.35,上市,4/23/25
1203,味王,咖哩雞肉(2入組)一盒,39.65,上市,4/23/25
4960,誠美材,CMMT x 灣A麻吉聯名限定森活杯,13.7,上市,3/26/25
3043,科風,統一商品卡35元,21.7,上市,4/23/25
6142,友勁,牛樟芝菌絲體精粹,9.26,上市,3/26/25
5471,松翰,全家禮物卡50元,33.55,上市,4/16/25
6770,力積電,統一商品卡100元,33.8,上市,3/26/25
8150,南茂,統一商品卡50元,45.65,上市,3/26/25
1528,恩德,統一商品卡50元,15.6,上市,3/25/25
2012,春雨,甲魚全沛全方位維他命,14.9,上市,3/25/25
2108,南帝,珍珍休閒食品,22.9,上市,3/25/25
2464,盟立,全家禮物卡50元,59,上市,3/25/25
6165,浪凡,超商禮券35元,48.6,上市,4/17/25
6108,競國,統一商品卡35元,14.2,上市,4/17/25
3057,喬鼎,24合一螺絲工具組,15.8,上市,3/25/25
3032,偉訓,菲蘇德美燕麥潔膚皂,79.3,上市,4/17/25
2498,宏達電,HTC多彩環保對杯,52,上市,4/17/25
2488,漢平,統一商品卡35元,45.4,上市,4/17/25
2481,強茂,毛寶好無比洗衣精,86,上市,4/17/25
3545,敦泰,統一商品卡50元,51.1,上市,3/25/25
1471,首利,統一商品卡35元,8.44,上市,4/17/25
3576,聯合再生,統一商品卡35元,6.4,上市,3/25/25
3708,上緯投控,統一商品卡35元,108,上市,3/25/25
4566,時碩工業,環保手提袋,57.7,上市,4/16/25
8011,台通,毛寶洗衣精,22.5,上市,3/25/25
8028,昇陽半導體,多用途承置架,171.5,上市,3/25/25
1316,上曜,【朝和生醫】愛視泌EX金盞草外泌體複方膠囊(全素)乙包(改發美之若返2包),15.5,上市,3/19/25
5706,鳳凰,鳳凰旅遊證件收納袋,49.55,上市,3/31/25
4306,炎洲,統一商品卡50元,14.05,上市,4/17/25
6164,華興,妙管家濃縮洗衣精,10,上市,3/31/25
3058,立德,蜂王清新植感草本皂,10.25,上市,4/17/25
3024,憶聲,小麥秸稈餐具組,10.7,上市,4/17/25
2834,臺企銀,統一商品卡50元,15.85,上市,4/17/25
2421,建準,麗晶麝香抗菌洗手露320g,158.5,上市,3/26/25
2390,云辰,統一商品卡35元,9.43,上市,4/16/25
1734,杏輝,茯苓善補膠囊,30.5,上市,4/16/25
2031,新光鋼,毛寶好無比室內晾曬洗衣精(500g),37.45,上市,3/26/25
1449,佳和,佳和4D立體醫用口罩(未滅菌)或等值商品,10.65,上市,4/16/25
3019,亞光,圓型玻璃保鮮盒,137,上市,3/26/25
3437,榮創,茶山房3入串皂,14.25,上市,4/16/25
2332,友訊,甲魚全沛全方位維他命一片,15.65,上市,3/26/25
1582,信錦,統一商品卡100元,66,上市,3/26/25
2480,敦陽科,統一商品卡35元,150.5,上市,3/26/25
2613,中櫃,小熊保溫保冷袋,23.7,上市,3/26/25
2731,雄獅,國內外團體旅遊兌換券700元,161.5,上市,3/26/25
2913,農林,澄韻紅茶150g,13.65,上市,4/16/25
2890,永豐金,【金元包(便當盒+包)】(或同等值商品),27.4,上市,3/26/25
2323,中環,水晶肥皂洗衣精,10.85,上市,4/9/25
3535,晶彩科,玻璃碗,85.5,上市,3/26/25
3563,牧德,宜睿好禮即享券50元,505,上市,3/26/25
6742,澤米,全家禮物卡50元,46.95,上市,4/15/25
1611,中電,統一商品卡50元,12.15,上市,3/25/25
4967,十銓,全家禮物卡50元,136.5,上市,3/26/25
4968,立積,全家禮物卡50元,135,上市,3/26/25
6116,彩晶,統一商品卡50元,7.22,上市,3/26/25
6533,晶心科,全家禮物卡50元,261.5,上市,3/26/25
2436,偉詮電,洗潔精一瓶,48.1,上市,3/26/25
5258,虹堡,素色雙邊側袋保溫保冷袋,72.2,上市,4/16/25
2444,兆勁,防疫消毒酒精瓶,10.95,上市,3/31/25
2353,宏碁,旋轉手機支架,26.5,上市,3/26/25
3406,玉晶光,統一商品卡50元,412,上市,4/16/25
3209,全科,旅行收納袋,31.85,上市,4/16/25
3037,欣興,低碳米,225,上市,4/16/25
2367,燿華,多功能運動腰包,25.35,上市,4/16/25
2340,台亞,統一商品卡50元,27.55,上市,4/16/25
1723,中碳,康寧耐熱玻璃烤盤(改發統一超商卡100元),69.3,上市,4/16/25
1524,耿鼎,菜瓜布,28,上市,4/16/25
9912,偉聯,全家禮物卡35元,12.15,上市,4/16/25
4927,泰鼎-KY,可掛式擦手巾,27.75,上市,3/26/25
1609,大亞,統一商品卡35元,38.15,上市,3/20/25
1416,廣豐,毛巾,11.65,上市,3/19/25
6191,精成科,黃麻購物袋一個,120.5,上市,4/16/25
4155,訊映,訊映旗下產品折價券2000元(已過使用期限改發替品),15,上市,3/31/25
3321,同泰,全家禮物卡50元,19.9,上市,3/19/25
6477,安集,草本皂,34.2,上市,3/19/25
2504,國產,超輕量冰壩杯,35.5,上市,3/26/25
2457,飛宏,統一商品卡35元,29.7,上市,4/9/25
2023,燁輝,304不銹鋼野營杯四入組,15,上市,4/16/25
1527,鑽全,統一商品卡35元,33.45,上市,4/16/25
1440,南紡,統一好勁道麵條5入組,13.65,上市,3/25/25
3062,建漢,碗筷2件套禮盒,23.25,上市,3/26/25
2449,京元電子,編織手提袋,221.5,上市,3/26/25
1337,再生-KY,居慕洗手液,4.87,上市,4/10/25
2329,華泰,戶外用摺疊手柄不銹鋼杯,46.35,上市,3/26/25
2030,彰源,運動休閒毛巾襪,13.65,上市,4/15/25
2420,新巨,伊莎貝爾櫻花香皂二入,50.8,上市,3/19/25
6136,富爾特,精油噴霧,24,上市,4/16/25
3056,富華新,統一商品卡50元,17.75,上市,4/16/25
2478,大毅,統一商品卡50元,58.9,上市,3/31/25
6215,和椿,統一商品卡35元,106.5,上市,3/31/25
6438,迅得,全家禮物卡50元,142,上市,3/31/25
3027,盛達,公益砧板,22.7,上市,3/19/25
4552,力達-KY,沙威隆經典抗菌皂,23.25,上市,4/16/25
2312,金寶,杜邦提袋,22.55,上市,3/31/25
5283,禾聯碩,抗菌清潔組,63.4,上市,3/31/25
2880,華南金,LINE FRIENDS不鏽鋼杯+造型吊飾組,30.75,上市,4/10/25
2417,圓剛,不鏽鋼杯,36.95,上市,4/16/25
2349,錸德,除黴凝膠,12.8,上市,4/16/25
2314,台揚,伊莎貝爾無患子洗手乳,22.5,上市,4/16/25
1338,廣華-KY,統一商品卡50元,20.35,上市,3/20/25
1417,嘉裕,機能襪,8.96,上市,3/19/25
1809,中釉,高露潔旅行組,17.45,上市,4/16/25
2442,新美齊,毛寶洗衣精500ml,24.95,上市,3/19/25
2425,承啟,統一商品卡35元,30.5,上市,4/17/25
1737,臺鹽,"洗手露1瓶及台塩線上股東專區購物金2,000元",31.55,上市,4/23/25
1414,東和,圍巾(不足時以等值商品替代),17.2,上市,4/15/25
2889,國票金,統一商品卡50元,15.95,上市,3/20/25
2506,太設,輕飲御口保溫瓶,9.44,上市,4/9/25
2535,達欣工,NAKAMURA日式陶瓷四入碗,62.8,上市,3/31/25
2727,王品,王品股東大禮包,210,上市,3/31/25
1604,聲寶,雨傘,24.55,上市,4/10/25
2438,翔耀,經典抗菌皂,22.9,上市,4/9/25
8443,阿瘦,感恩購物金500元現金抵用券,11.1,上市,4/10/25
6706,惠特,統一商品卡50元,108,上市,4/10/25
6598,ABC-KY,全家禮物卡35元,21.4,上市,4/1/25
2515,中工,陶瓷隨行杯,12.75,上市,3/26/25
6005,群益證,滾珠按摩器,24.85,上市,3/26/25
2429,銘旺科,統一商品卡50元,86.8,上市,4/10/25
2401,凌陽,統一商品卡50元,20.4,上市,4/10/25
1452,宏益,高露潔旅行組,11.95,上市,4/10/25
1418,東華,EVA雨衣,19.9,上市,4/9/25
1709,和益,德菲雅掛耳式咖啡,16.7,上市,4/15/25
2705,六福,六福村主題樂園門票乙張(已過使用期限改發替品),16.55,上市,3/31/25
5484,慧友,白人牙膏,39.05,上市,4/17/25
2516,新建,保溫袋,15.05,上市,4/9/25
5222,全訊,全家禮物卡50元,128,上市,4/9/25
1536,和大,統一商品卡50元,58.5,上市,4/9/25
3048,益登,統一商品卡35元,40.55,上市,4/10/25
2883,凱基金,電動研磨器,16.95,上市,4/10/25
2107,厚生,手提袋,24.55,上市,4/10/25
2364,倫飛,統一商品卡50元,66.9,上市,4/9/25
8222,寶一,濾掛式咖啡包2入,40.95,上市,4/15/25
4977,眾達-KY,宜睿好禮即享券35元,138,上市,4/15/25
2605,新興,苦茶油香皂禮盒,26.4,上市,4/9/25
3686,達能,全家禮物卡35元,18.5,上市,4/16/25
2102,泰豐,統一商品卡50元,20.15,上市,3/18/25
9935,慶豐富,全家禮物卡50元,20.7,上市,3/19/25
3518,柏騰,環保購物袋,20.95,上市,4/9/25
1783,和康生,至尊膠原面膜限量盲盒,43.3,上市,4/9/25
1563,巧新,統一商品卡50元,40.3,上市,3/19/25
3550,聯穎,統一商品卡35元,12.8,上市,4/10/25
2345,智邦,統一商品卡50元,1135,上市,4/9/25
6153,嘉聯益,指甲剪(含皮套),15.05,上市,4/9/25
1514,亞力,珪藻土桌墊,98.7,上市,4/9/25
2885,元大金,全家禮物卡100元,37.55,上市,4/10/25
1516,川飛,統一商品卡35元,20.15,上市,4/10/25
3052,夆典,黃麻手提環保袋,11.4,上市,4/9/25
2484,希華,米,20.7,上市,4/10/25
3090,日電貿,無患子洗手乳,106,上市,4/9/25
1760,寶齡富錦,本公司粧品或其他同等值商品,65.5,上市,3/20/25
3305,昇貿,統一商品卡35元,97,上市,4/9/25
9919,康那香,口罩,16.55,上市,4/10/25
6224,聚鼎,統一商品卡50元,41.65,上市,4/9/25
2453,凌群,折疊手提購物袋,52.9,上市,4/9/25
3376,新日興,工具組,215.5,上市,4/9/25
2485,兆赫,統一商品卡60元,26.65,上市,4/9/25
2359,所羅門,無患子洗手乳,128.5,上市,4/9/25
2365,昆盈,全罩頭戴式耳機,35.55,上市,4/8/25
6120,達運,統一商品卡35元,13.85,上市,4/9/25
2493,揚博,蔬果刨刀二入組,103,上市,4/9/25
3673,TPK-KY,全家禮物卡50元,42.8,上市,4/9/25
4533,協易機,統一商品卡35元,22.1,上櫃,4/10/25
4530,宏易,四件式小麥餐具組,12.35,上櫃,4/9/25
5011,久陽,甲魚全沛全方位維他命一片(10粒),10.4,上櫃,4/9/25
6104,創惟,統一商品卡50元,98,上櫃,4/9/25
6223,旺矽,統一商品卡50元,2315,上櫃,4/9/25
6170,統振,電池,49.85,上櫃,4/9/25
3317,尼克森,高露潔輕便組,45.75,上櫃,4/9/25
3540,曜越,統一商品卡35元,29.9,上櫃,4/9/25
5263,智崴,體驗優惠券,93.1,上櫃,4/9/25
6411,晶焱,統一商品卡50元,78.1,上櫃,4/9/25
3567,逸昌,收納袋,25.85,上櫃,4/10/25
3707,漢磊,凱得舒口腔舒適凝露旅行組,49.05,上櫃,4/9/25
3141,晶宏,食器洗滌液,51.7,上櫃,4/9/25
5603,陸海,伊莎貝爾香皂,19,上櫃,4/9/25
3646,艾恩特,統一商品卡35元,25.15,上櫃,4/9/25
3499,環天科,全家禮物卡35元,14.55,上櫃,4/9/25
8048,德勝,全家禮物卡50元,55.7,上櫃,4/9/25
1565,精華,醫之方晶采金盞花葉黃素 30錠,118.5,上櫃,4/9/25
8076,伍豐,統一商品卡100元,22.65,上櫃,4/10/25
3289,宜特,統一商品卡50元,105.5,上櫃,4/10/25
3372,典範,統一商品卡35元,18.85,上櫃,4/10/25
6143,振曜,統一商品卡50元,125,上櫃,4/10/25
4541,晟田,統一商品卡35元,41.1,上櫃,4/9/25
6016,康和證,統一商品卡50元,13.1,上櫃,3/25/25
6517,保勝光學,統一商品卡50元,59.5,上櫃,4/9/25
1785,光洋科,沙威隆抗菌組,63.5,上櫃,4/9/25
5425,台半,宜睿好禮即享券50元,56.1,上櫃,4/16/25
6703,軒郁,膠原飲品,111.5,上櫃,4/9/25
3211,順達,統一商品卡50元,290,上櫃,4/9/25
8088,品安,統一超商商品卡35元,40.9,上櫃,4/9/25
3541,西柏,印金屬桿原子筆 or 莫蘭迪色鋼筆,24,上櫃,4/9/25
5498,凱崴,超淨亮白洗衣精,28.7,上櫃,4/16/25
6683,雍智科技,統一商品卡50元,434,上櫃,4/8/25
3522,御嵿,御嵿集團品牌優惠券,15.05,上櫃,4/9/25
8409,商之器,安妮兔方型一碗一匙,21.2,上櫃,4/16/25
1815,富喬,不鏽鋼玻璃調味罐,85.5,上櫃,4/10/25
6217,中探針,統一商品卡35元,51.1,上櫃,4/16/25
4510,高鋒,統一商品卡50元,41.75,上櫃,4/9/25
4168,醣聯,廚房不鏽鋼料理剪刀,21.5,上櫃,4/9/25
4111,濟生,植萃草本精華油,29.9,上櫃,4/9/25
3430,奇鈦科,全家禮物卡35元,63.9,上櫃,4/9/25
5398,慕康生醫,統一商品卡50元,28.4,上櫃,4/10/25
3526,凡甲,蜂王清新植感草本皂二入盒,244.5,上櫃,4/10/25
8289,泰藝,多功能削皮器,20.3,上櫃,4/9/25
6294,智基,學費旅費兌換券500元,44.35,上櫃,4/16/25
4744,皇將,全家禮物卡50元,30.2,上櫃,4/15/25
3498,陽程,全家禮物卡50元,47.8,上櫃,4/10/25
4160,訊聯基因,Meta Exosome外泌體水光潤澤修護面膜,50,上櫃,4/10/25
4167,松瑞藥,沙威隆經典抗菌皂,17.5,上櫃,4/10/25
7402,邑錡,統一商品卡50元,131.5,上櫃,4/10/25
3095,及成,不銹鋼餐具組,27.65,上櫃,4/15/25
1580,新麥,統一中杯美式咖啡卡,136,上櫃,4/1/25
5609,中菲行,手機環,80.1,上櫃,3/31/25
8064,東捷,統一商品卡35元,44.05,上櫃,3/31/25
3441,聯一光電,數據線收納包或等值商品,39.45,上櫃,3/19/25
6111,大宇資,統一商品卡50元,44.6,上櫃,3/31/25
3176,基亞,收納小包,30.1,上櫃,3/31/25
6274,台燿,全家企業禮贈卡50元(改發統一商品卡50元),430,上櫃,4/16/25
3632,研勤,包裝米,,上櫃,4/15/25
4171,瑞基,宜睿好禮即享券35元,21.1,上櫃,4/9/25
3131,弘塑,香皂或等值商品,1510,上櫃,4/16/25
3306,鼎天,Give U指甲剪刨光套組,49.75,上櫃,4/9/25
3213,茂訊,三入微波保鮮盒,97.4,上櫃,4/9/25
3402,漢科,洗手乳,121.5,上櫃,4/16/25
3466,德晉,全家禮物卡50元,45.2,上櫃,3/13/25
4903,聯光通,常健順暢益生菌,48.2,上櫃,3/4/25
8935,邦泰,法國Luminarc晶鑽浮雕盤,18.55,上櫃,3/31/25
3115,富榮綱,全家禮物卡100元,10.35,上櫃,4/16/25
5227,立凱-KY,統一商品卡50元,25.3,上櫃,3/31/25
4147,中裕,統一商品卡50元,65.5,上櫃,3/31/25
4523,永彰,統一中杯美式咖啡卡,31.6,上櫃,4/16/25
6237,驊訊,統一商品卡50元,42.6,上櫃,4/16/25
6485,點序,統一商品卡50元,68.5,上櫃,4/16/25
6233,旺玖,全家禮物卡35元,21.3,上櫃,3/31/25
6126,信音,三折自動傘(顏色隨機),30.5,上櫃,3/31/25
5210,寶碩,統一商品卡35元,24.1,上櫃,3/31/25
8390,金益鼎,抗菌洗手露1罐,86.2,上櫃,4/16/25
6129,普誠,全家禮物卡50元,14.1,上櫃,4/16/25
3236,千如,木質手機支架,27.2,上櫃,3/31/25
2065,世豐,統一商品卡50元,28.95,上櫃,3/31/25
6218,豪勉,統一商品卡35元,19.85,上櫃,4/15/25
8069,元太,GREEN & SAFE義大利高燃點葵花籽油,187.5,上櫃,3/26/25
6265,方方土昶,仙桃牌購物金500元,19.5,上櫃,4/16/25
4991,環宇-KY,宜睿好禮即享券A35元,170.5,上櫃,3/31/25
2641,正德,統一商品卡35元,20.95,上櫃,3/31/25
6185,幃翔,好無比洗衣精,15.9,上櫃,4/8/25
3527,聚積,保鮮袋1個,57.8,上櫃,4/16/25
