股票代號,股票名稱,產業,股價,紀念品,最後買進日,現金股利,合計股利,殖利率(%),除息日,發放日
2303,聯電,半導體業,49.50,UMC x 咖波聯名限定鋼珠筆套組,3/26/25,2.85,2.85,6.06,'25/06/24,'25/07/16
3592,瑞鼎,半導體業,232.50,統一商品卡50元,3/26/25,22.20,22.20,6.05,'25/07/03,'25/07/30
6170,統振,通信網路業,49.50,電池,4/9/25,3.11,3.11,6.05,'25/07/10,'25/08/08
4138,曜亞,生技醫療業,60.70,面膜,4/17/25,4.15,5.15,6.04,'25/04/18,'25/05/16
1565,精華,生技醫療業,117.00,醫之方晶采金盞花葉黃素 30錠,4/9/25,9.50,9.50,5.99,'25/08/25,'25/09/12
2031,新光鋼,鋼鐵工業,37.90,毛寶好無比室內晾曬洗衣精(500g),3/26/25,2.50,2.50,5.99,'25/06/19,'25/07/23
2727,王品,觀光餐旅,217.00,王品股東大禮包,3/31/25,14.59,14.59,5.99,'25/07/03,'25/07/30
6494,九齊,半導體業,36.30,統一商品卡50元,3/19/25,2.36,2.36,5.96,'25/06/19,'25/07/10
2420,新巨,電子零組件業,50.90,伊莎貝爾櫻花香皂二入,3/19/25,3.50,3.50,5.95,'25/08/26,'25/09/26
4974,亞泰,電子零組件業,69.60,統一商品卡50元,3/26/25,5.45,5.45,5.94,'25/06/17,'25/07/11
2883,凱基金,金控業,17.50,電動研磨器,4/10/25,0.85,0.95,5.92,'25/06/30,'25/07/30
8383,千附,半導體業,40.65,統一商品卡50元,3/25/25,2.50,2.50,5.92,'25/07/15,'25/08/15
4557,永新-KY,汽車工業,77.50,精緻包裝米,3/26/25,6.50,6.50,5.88,'25/06/16,'25/07/09
8107,大億金茂,電機機械,14.20,全家禮物卡35元,4/17/25,1.00,1.00,5.88,'25/09/18,'25/10/15
2605,新興,航運業,26.60,苦茶油香皂禮盒,4/9/25,1.30,1.30,5.84,'25/07/11,'25/08/15
5478,智冠,文化創意業,98.20,MyCard點數卡100點,4/16/25,7.50,7.50,5.84,'25/03/24,'25/04/18
3051,力特,光電業,18.25,精美料理剪刀,4/23/25,1.52,1.52,5.81,'25/08/05,'25/08/29
4906,正文,通信網路業,27.25,指甲剪套裝組,3/26/25,1.50,1.50,5.75,'25/07/03,'25/07/25
3213,茂訊,電腦及週邊設備業,102.50,三入微波保鮮盒,4/9/25,6.00,6.00,5.74,'25/06/27,'25/07/25
2355,敬鵬,電子零組件業,31.05,保溫保冷袋,4/23/25,1.85,1.85,5.69,'25/07/14,'25/08/11
8016,矽創,半導體業,179.00,統一商品卡35元,3/26/25,12.00,12.00,5.67,'25/06/16,'25/07/09
1527,鑽全,電機機械,32.70,統一商品卡35元,4/16/25,2.20,2.20,5.61,'25/08/04,'25/08/29
3646,艾恩特,電子零組件業,24.40,統一商品卡35元,4/9/25,1.65,1.65,5.61,'25/08/26,'25/09/24
1712,興農,化學工業,44.05,一滴淨液態洗衣槽清潔劑一瓶,3/25/25,2.50,2.50,5.50,'25/03/13,'25/04/16
8299,群聯,半導體業,1340.00,全家禮物卡50元,3/26/25,31.31,31.31,5.50,'25/12/16,'26/01/13
1708,東鹼,化學工業,32.70,東南實業股份有限公司小蘇打粉,3/13/25,2.00,2.00,5.45,'25/05/28,'25/06/26
8050,廣積,電腦及週邊設備業,42.70,攜帶型手機支架,4/17/25,3.18,3.18,5.45,'25/07/18,'25/08/08
1570,力肯,電機機械,32.25,超商商品卡 50元,11/17/25,1.30,1.30,5.44,'25/07/30,'25/08/28
2885,元大金,金控業,39.65,全家禮物卡100元,4/10/25,1.55,1.85,5.44,'25/07/01,'25/07/23
2887,台新新光金,金控業,20.55,精緻密封調味罐,4/22/25,0.90,0.90,5.44,'25/08/12,'25/09/04
8048,德勝,通信網路業,55.90,全家禮物卡50元,4/9/25,2.20,2.20,5.42,'25/07/01,'25/07/24
1604,聲寶,電器電纜,24.45,雨傘,4/10/25,1.50,1.50,5.40,'25/04/11,'25/05/14
3010,華立,電子通路業,106.00,全家禮物卡50元,3/26/25,5.30,5.30,5.38,'25/06/23,'25/07/18
8163,達方,電腦及週邊設備業,30.25,日式斗笠碗禮盒組(2入),3/26/25,2.00,2.00,5.38,'25/06/20,'25/07/18
4105,東洋,生技醫療業,81.50,創益倍力莓(6入/盒),3/26/25,4.20,4.20,5.35,'25/03/27,'25/04/25
2107,厚生,橡膠工業,24.50,手提袋,4/10/25,1.40,1.40,5.34,'25/06/16,'25/07/09
8437,大地-KY,其他業,17.15,全家禮物卡50元,4/16/25,1.02,1.02,5.33,'25/08/13,'25/09/12
3042,晶技,電子零組件業,80.20,統一商品卡100元,3/26/25,5.20,5.20,5.31,'25/06/16,'25/07/10
3090,日電貿,電子零組件業,93.70,無患子洗手乳,4/9/25,4.20,4.20,5.29,'25/07/03,'25/07/31
3118,進階,生技醫療業,33.25,全家禮物卡35元,3/25/25,1.80,1.80,5.29,'25/06/12,'25/07/04
