代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
00666R,富邦恒生國企反1,12/30,8.8,-0.02,-0.23,2024,無,0,0,0,,0,,0,0,,,
00668,國泰美國道瓊,12/30,55.5,-0.3,-0.54,2024,無,0,0,0,,0,,0,0,,,
00668K,國泰美國道瓊+U,12/30,17.7,-0.09,-0.51,2024,無,0,0,0,,0,,0,0,,,
00669R,國泰美國道瓊反1,12/30,5.68,+0.03,+0.53,2024,無,0,0,0,,0,,0,0,,,
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
00670L,富邦NASDAQ正2,12/30,164.25,-1.25,-0.76,2024,無,0,0,0,,0,,0,0,,,
00671R,富邦NASDAQ反1,12/30,2.84,+0.01,+0.35,2024,無,0,0,0,,0,,0,0,,,
00673R,期元大S&P原油反1,12/30,28.25,-0.34,-1.19,2024,無,0,0,0,,0,,0,0,,,
00674R,期元大S&P黃金反1,12/30,5.84,+0.19,+3.36,2024,無,0,0,0,,0,,0,0,,,
00675L,富邦臺灣加權正2,12/30,143.15,-0.3,-0.21,2024,無,0,0,0,,0,,0,0,,,
00676R,富邦臺灣加權反1,12/30,9.08,+0.01,+0.11,2024,無,0,0,0,,0,,0,0,,,
00678,群益那斯達克生技,12/30,34.87,-0.32,-0.91,2024,無,0,0,0,,0,,0,0,,,
00679B,元大美債20年,12/30,27.21,-0.03,-0.11,2025,季,1.18,0,1.18,27.51,4.4,,0,4.4,'25/11/21,,'25/12/12
00680L,元大美債20正2,12/30,7.27,+0.01,+0.14,2024,無,0,0,0,,0,,0,0,,,
00681R,元大美債20反1,12/30,20.72,-0.02,-0.1,2024,無,0,0,0,,0,,0,0,,,
00682U,期元大美元指數,12/30,20.1,0,0,2024,無,0,0,0,,0,,0,0,,,
00683L,期元大美元指正2,12/30,20.61,0,0,2024,無,0,0,0,,0,,0,0,,,
00684R,期元大美元指反1,12/30,15.66,-0.02,-0.13,2024,無,0,0,0,,0,,0,0,,,
00685L,群益臺灣加權正2,12/30,128.45,-0.25,-0.19,2024,無,0,0,0,,0,,0,0,,,
00686R,群益臺灣加權反1,12/30,1.62,0,0,2024,無,0,0,0,,0,,0,0,,,
00687B,國泰20年美債,12/30,28.27,-0.02,-0.07,2025,季,1.24,0,1.24,28.31,4.37,,0,4.37,'25/12/16,,'26/01/13
00687C,國泰20年美債+櫃U,12/30,9.42,+0.01,+0.11,,,,,,,,,,,,,
00688L,國泰20年美債正2,12/30,7.26,+0.02,+0.28,2024,無,0,0,0,,0,,0,0,,,
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
00689R,國泰20年美債反1,12/30,21.52,-0.05,-0.23,2024,無,0,0,0,,0,,0,0,,,
00690,兆豐藍籌30,12/30,44.5,-0.03,-0.07,2025,季,2.65,0,2.65,43.06,6.86,,0,6.86,'25/11/18,,'25/12/05
00692,富邦公司治理,12/30,57.3,+0.05,+0.09,2025,半年,1.88,0,1.88,55.85,3.61,,0,3.61,'25/11/18,,'25/12/11
00693U,期街口S&P黃豆,12/30,20.36,-0.2,-0.97,2024,無,0,0,0,,0,,0,0,,,
00694B,富邦美債1-3,12/30,41.59,-0.09,-0.22,2025,季,1.11,0,1.11,40.74,2.69,,0,2.69,'25/10/20,,'25/11/13
00695B,富邦美債7-10,12/30,35.72,-0.03,-0.08,2025,季,1.087,0,1.087,35.34,3.12,,0,3.12,'25/10/20,,'25/11/13
00696B,富邦美債20年,12/30,29.61,-0.02,-0.07,2025,季,1.144,0,1.144,30.18,3.9,,0,3.9,'25/10/20,,'25/11/13
00697B,元大美債7-10,12/30,36.02,0,0,2025,季,1.18,0,1.18,36.46,3.33,,0,3.33,'25/12/19,,'26/01/12
00700,富邦恒生國企,12/30,18.33,+0.02,+0.11,2024,無,0,0,0,,0,,0,0,,,
00701,國泰股利精選30,12/30,29.36,-0.05,-0.17,2025,半年,3.85,0,3.85,29.78,13.1,,0,13.1,'25/08/18,,'25/09/11
00702,國泰標普低波高息,12/30,23.33,+0.01,+0.04,2025,半年,1.32,0,1.32,22.35,5.57,,0,5.57,'25/07/16,,'25/08/11
00703,台新MSCI中國,12/30,21.57,-0.06,-0.28,2024,無,0,0,0,,0,,0,0,,,
00706L,期元大S&P日圓正2,12/30,20.63,+0.06,+0.29,2024,無,0,0,0,,0,,0,0,,,
00707R,期元大S&P日圓反1,12/30,31.2,0,0,2024,無,0,0,0,,0,,0,0,,,
00708L,期元大S&P黃金正2,12/30,91.95,-6.6,-6.7,2024,無,0,0,0,,0,,0,0,,,
00709,富邦歐洲,12/30,36.78,-0.1,-0.27,2024,無,0,0,0,,0,,0,0,,,
00710B,復華彭博非投等債,12/30,18.92,-0.02,-0.11,2025,季,1.27,0,1.27,19.3,6.67,,0,6.67,'25/12/17,,'26/01/14
00711B,復華彭博新興債,12/30,16.29,-0.05,-0.31,2025,季,0.76,0,0.76,16.51,4.79,,0,4.79,'25/12/17,,'26/01/14
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
00712,復華富時不動產,12/30,9.14,-0.03,-0.33,2025,季,0.793,0,0.793,9.25,8.65,,0,8.65,'25/12/17,,'26/01/14
00713,元大台灣高息低波,12/30,50.85,-0.05,-0.1,2025,季,4.06,0,4.06,51.15,7.7,,0,7.7,'25/12/19,,'26/01/12
