代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
3023,信邦,12/30,195.5,+0.5,+0.26,2025,年,10.25,0,10.25,238,4.31,,0,4.31,'25/08/21,,'25/09/17
3026,禾伸堂,12/30,100,0,0,2025,年,5.5,0,5.5,83.7,6.57,,0,6.57,'25/06/23,,'25/07/18
3032,偉訓,12/30,77.8,+0.4,+0.52,2025,年,2.726,0,2.726,114.5,2.38,,0,2.38,'25/08/12,,'25/09/03
3037,欣興,12/30,219.5,-1,-0.45,2025,年,1.5,0,1.5,122.5,1.22,,0,1.22,'25/07/10,,'25/08/08
3042,晶技,12/30,80.2,-0.4,-0.5,2025,半年,5.2,0,5.2,98,5.31,,0,5.31,'25/06/16,,'25/07/10
3044,健鼎,12/30,320.5,0,0,2025,年,10.3,0,10.3,252.5,4.08,,0,4.08,'25/07/10,,'25/08/14
3058,立德,12/30,10.85,+0.15,+1.4,2025,年,0,0,0,,0,,0,0,,,
3078,僑威,12/30,69.9,-0.1,-0.14,2025,年,4,0,4,88.2,4.54,,0,4.54,'25/09/03,,'25/10/03
3090,日電貿,12/30,93.7,+0.6,+0.64,2025,年,4.2,0,4.2,79.4,5.29,,0,5.29,'25/07/03,,'25/07/31
3092,鴻碩,12/30,24.2,+2.2,+10,2025,年,0,0,0,,0,,0,0,,,
3114,好德,12/30,28.3,+1.35,+5.01,2025,年,1.2,0,1.2,24.1,4.98,,0,4.98,'25/07/11,,'25/08/05
3115,富榮綱,12/30,10.45,-0.25,-2.34,2025,年,0,0,0,,0,,0,0,,,
3191,雲嘉南,12/30,18.5,-0.3,-1.6,2025,年,0,0,0,,0,,0,0,,,
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
3206,志豐,12/30,32,-0.1,-0.31,2025,年,2.5,0,2.5,37.8,6.61,,0,6.61,'25/07/24,,'25/08/21
3207,耀勝,12/30,70.6,+2.5,+3.67,2025,年,0,0,0,,0,,0,0,,,
3217,優群,12/30,158,-0.5,-0.32,2025,年,8.813,0,8.813,161,5.47,,0,5.47,'25/07/03,,'25/07/31
3229,晟鈦,12/30,28.2,+0.1,+0.36,2025,年,0,0,0,,0,,0,0,,,
3236,千如,12/30,28,-0.05,-0.18,2025,年,0.35,0,0.35,17.5,2,,0,2,'25/08/26,,'25/09/24
3276,宇環,12/30,15.9,0,0,2025,年,0.02,0,0.02,12.85,0.16,,0,0.16,'25/07/24,,'25/08/21
3288,點晶,12/30,16.8,0,0,2025,年,0,0,0,,0,,0,0,,,
3290,東浦,12/30,42.1,-0.25,-0.59,2025,年,0,0,0,,0,,0,0,,,
3294,英濟,12/30,38.65,-0.5,-1.28,2025,年,0.38,0,0.38,30.1,1.26,,0,1.26,'25/04/01,,'25/05/07
3296,勝德,12/30,24.6,-0.7,-2.77,2025,年,0,0,0,,0,,0,0,,,
3308,聯德,12/30,18.3,+1.65,+9.91,2025,年,0,0,0,,0,,0,0,,,
3310,佳穎,12/30,86.7,+0.8,+0.93,2025,年,2.887,0,2.887,81,3.56,,0,3.56,'25/07/07,,'25/07/29
3321,同泰,12/30,18.1,-0.2,-1.09,2025,年,0,0,0,,0,,0,0,,,
3322,建舜電,12/30,15.55,0,0,2025,年,0,0,0,,0,,0,0,,,
3332,幸康,12/30,55.3,-2.1,-3.66,2025,年,1.1,0,1.1,54.7,2.01,,0,2.01,'25/10/02,,'25/10/31
3338,泰碩,12/30,49.2,-0.8,-1.6,2025,年,2.015,0,2.015,52.7,3.82,,0,3.82,'25/07/02,,'25/07/29
3354,律勝,12/30,29.5,-1.65,-5.3,2025,年,0.2,0,0.2,16.55,1.21,,0,1.21,'25/07/08,,'25/08/04
3357,臺慶科,12/30,142,-1,-0.7,2025,年,5,0,5,124.5,4.02,,0,4.02,'25/03/21,,'25/04/28
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
3376,新日興,12/30,203,0,0,2025,年,6,0,6,230,2.61,,0,2.61,'25/08/06,,'25/09/02
3388,崇越電,12/30,61.5,0,0,2025,年,3.5,0,3.5,64.4,5.43,,0,5.43,'25/06/23,,'25/07/18
3390,旭軟,12/30,24.5,-1.1,-4.3,2025,年,1,0,1,21.3,4.69,,0,4.69,'25/07/31,,'25/08/22
