代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
1802,台玻,12/30,35.05,-1.05,-2.91,2025,年,0,0,0,,0,,0,0,,,
1806,冠軍,12/30,9.14,-0.08,-0.87,2025,半年,1,0,1,11.9,8.4,,0,8.4,'25/07/03,,'25/07/30
1809,中釉,12/30,17.85,-0.7,-3.77,2025,年,0.25,0,0.25,16,1.56,,0,1.56,'25/07/18,,'25/08/15
1810,和成,12/30,17.8,-0.3,-1.66,2025,年,0.19,0,0.19,14.95,1.27,,0,1.27,'25/07/02,,'25/07/29
1817,凱撒衛,12/30,38.35,-0.15,-0.39,2025,年,2.4,0,2.4,42.7,5.62,,0,5.62,'25/06/30,,'25/07/25
